index,sex,area,effective_sample_size,data_type,value,standard_error,age_start,age_end,year_start,year_end
3429,,China,6581.0,p,0.0,0.0,30,95,2006,2007
3430,male,China,3062.0,p,0.0,0.0,30,95,2006,2007
3431,female,China,3519.0,p,0.0,0.0,30,95,2006,2007
3432,,China,1120.0,p,0.0,0.0,30,39,2006,2007
3433,male,China,549.0,p,0.0,0.0,30,39,2006,2007
3434,female,China,671.0,p,0.0,0.0,30,39,2006,2007
3435,,China,1312.0,p,0.0,0.0,40,49,2006,2007
3436,male,China,597.0,p,0.0,0.0,40,49,2006,2007
3437,female,China,715.0,p,0.0,0.0,40,49,2006,2007
3438,,China,2438.0,p,0.0,0.0,50,59,2006,2007
3439,male,China,1134.0,p,0.0,0.0,50,59,2006,2007
3440,female,China,1304.0,p,0.0,0.0,50,59,2006,2007
3441,,China,1071.0,p,0.0,0.0,60,69,2006,2007
3442,male,China,537.0,p,0.0,0.0,60,69,2006,2007
3443,female,China,534.0,p,0.0,0.0,60,69,2006,2007
3444,,China,540.0,p,0.0,0.0,70,95,2006,2007
3445,male,China,235.0,p,0.0,0.0,70,95,2006,2007
3446,female,China,295.0,p,0.0,0.0,70,95,2006,2007
3479,,Italy,845.0,p,0.03431952662721893,0.006262662601727794,61,95,2005,2006
3480,male,Italy,388.0,p,0.0231958762886598,0.007641757842091534,61,95,2005,2006
3481,female,Italy,457.0,p,0.0437636761487965,0.009569327458395135,61,95,2005,2006
3482,,Italy,145.0,p,0.013793103448275862,0.00968569999803871,61,64,2005,2006
3483,,Italy,244.0,p,0.02868852459016393,0.010686572919622444,65,69,2005,2006
3484,,Italy,188.0,p,0.031914893617021274,0.012819602091286304,70,74,2005,2006
3485,,Italy,150.0,p,0.02666666666666667,0.013154354299509992,75,79,2005,2006
3486,,Italy,118.0,p,0.0847457627118644,0.025638278852014102,80,95,2005,2006
3487,,Italy,845.0,p,0.021301775147929,0.004967111899232622,61,95,2005,2006
3488,male,Italy,388.0,p,0.01288659793814433,0.005725808260534445,61,95,2005,2006
3489,female,Italy,457.0,p,0.028446389496717725,0.007776583886220757,61,95,2005,2006
3490,,Italy,845.0,p,0.01301775147928994,0.003899368728414149,61,95,2005,2006
3491,male,Italy,388.0,p,0.010309278350515464,0.005128000034781515,61,95,2005,2006
3492,female,Italy,457.0,p,0.015317286652078776,0.005744880202200026,61,95,2005,2006
3525,,Italy,845.0,p,0.03431952662721893,0.006262662601727794,61,95,2005,2006
3526,male,Italy,388.0,p,0.0231958762886598,0.007641757842091534,61,95,2005,2006
3527,female,Italy,457.0,p,0.0437636761487965,0.009569327458395135,61,95,2005,2006
3528,,Italy,145.0,p,0.013793103448275862,0.00968569999803871,61,64,2005,2006
3529,,Italy,244.0,p,0.02868852459016393,0.010686572919622444,65,69,2005,2006
3530,,Italy,188.0,p,0.031914893617021274,0.012819602091286304,70,74,2005,2006
3531,,Italy,150.0,p,0.02666666666666667,0.013154354299509992,75,79,2005,2006
3532,,Italy,118.0,p,0.0847457627118644,0.025638278852014102,80,95,2005,2006
3533,,Italy,845.0,p,0.021301775147929,0.004967111899232622,61,95,2005,2006
3534,male,Italy,388.0,p,0.01288659793814433,0.005725808260534445,61,95,2005,2006
3535,female,Italy,457.0,p,0.028446389496717725,0.007776583886220757,61,95,2005,2006
3536,,Italy,845.0,p,0.01301775147928994,0.003899368728414149,61,95,2005,2006
3537,male,Italy,388.0,p,0.010309278350515464,0.005128000034781515,61,95,2005,2006
3538,female,Italy,457.0,p,0.015317286652078776,0.005744880202200026,61,95,2005,2006
3563,,Iceland,5272.0,p,0.05709408194233687,0.003195523582947952,66,91,2002,2006
3564,male,Iceland,2260.0,p,0.052212389380530966,0.004679377453474196,66,91,2002,2006
