index,sex,area,effective_sample_size,data_type,value,standard_error,age_start,age_end,year_start,year_end
3779,male,NOR,1075,p,0.5683720930232559,0.015106605882800097,65,87,2009,2010
3780,,NOR,2539,p,0.5813312327688066,0.009790745454975438,65,87,2009,2010
3781,,NOR,976,p,0.0030737704918032786,0.0017719127003295442,65,69,2009,2010
3782,,NOR,780,p,0.003846153846153847,0.002216303502180232,70,74,2009,2010
3783,,NOR,554,p,0.01444043321299639,0.005068467519804123,75,79,2009,2010
3784,,NOR,321,p,0.037383177570093455,0.010587960541404736,80,87,2009,2010
3785,,NOR,2631,p,0.009882174078297223,0.0019284539187731234,65,87,2009,2010
3786,,NOR,976,p,0.005122950819672132,0.002285177243765014,65,69,2009,2010
3787,,NOR,780,p,0.017948717948717947,0.0047537517535364,70,74,2009,2010
3788,,NOR,554,p,0.04332129963898917,0.008649259127782404,75,79,2009,2010
3789,,NOR,321,p,0.07165109034267912,0.014395093876438518,80,87,2009,2010
3790,,NOR,2631,p,0.025085518814139108,0.003048838222008084,65,87,2009,2010
3791,,NOR,976,p,0.008196721311475409,0.002886077211602164,65,69,2009,2010
3792,,NOR,780,p,0.0217948717948718,0.005228111312441432,70,74,2009,2010
3793,,NOR,554,p,0.05776173285198556,0.009911641686443056,75,79,2009,2010
3794,,NOR,321,p,0.10903426791277256,0.017396404213043812,80,87,2009,2010
3795,,NOR,2631,p,0.03496769289243633,0.0035813271241867594,65,87,2009,2010
3796,,NOR,976,p,0.5594262295081968,0.01589116813320358,65,69,2009,2010
3797,,NOR,780,p,0.6166666666666667,0.0174086954727423,70,74,2009,2010
3798,,NOR,554,p,0.7111913357400722,0.01925499699352876,75,79,2009,2010
3799,,NOR,321,p,0.7445482866043613,0.02434155552966901,80,87,2009,2010
3800,,NOR,2631,p,0.6016723679209426,0.00954420648674126,65,87,2009,2010
3801,,KOR,10449,p,0.02765814910517753,0.00160429297426995,50,95,2010,2010
3802,,KOR,10449,p,0.02765814910517753,0.00160429297426995,50,95,2010,2010
3803,,GBR,425,p,0.01647058823529412,0.006173817192453097,39,59,2012,2012
3804,,GBR,245,p,0.0163265306122449,0.008096352166861706,39,45,2012,2012
3805,,GBR,165,p,0.01818181818181818,0.01040141006449737,46,52,2012,2012
3806,,GBR,15,p,0.03333333333333333,0.046348119143587135,53,59,2012,2012
3807,,GBR,425,p,0.01647058823529412,0.006173817192453097,39,59,2012,2012
3808,,GBR,245,p,0.0163265306122449,0.008096352166861706,39,45,2012,2012
3809,,GBR,165,p,0.01818181818181818,0.01040141006449737,46,52,2012,2012
3810,,GBR,15,p,0.03333333333333333,0.046348119143587135,53,59,2012,2012
3811,,DEU,89,p,0.33707865168539325,0.050107371709043065,90,92,2010,2011
3812,,DEU,66,p,0.2727272727272727,0.05482024446868429,93,95,2010,2011
3813,male,DEU,49,p,0.2653061224489796,0.06307086779237299,90,95,2010,2011
3814,female,DEU,106,p,0.330188679245283,0.045677717963305366,90,95,2010,2011
3815,,DEU,155,p,0.3096774193548387,0.03713769629075418,90,95,2010,2011
3816,,DEU,89,p,0.14606741573033707,0.03743634684475605,90,92,2010,2011
3817,,DEU,66,p,0.10606060606060606,0.03790173776752096,93,95,2010,2011
3818,male,DEU,49,p,0.20408163265306128,0.05757556168551457,90,95,2010,2011
3819,female,DEU,106,p,0.09433962264150944,0.02839074693823693,90,95,2010,2011
